,모델명,제조사,유종,배기량,변속형식,복합연비,등급,CO2배출량,분류,가격
1985,모닝(JA) 1.0가솔린_밴형 (15),기아,휘발유,998,자동4,15.4,경형,106,경차,1180
1992,모닝(JA)1.0가솔린 (15),기아,휘발유,998,자동4,15.4,경형,106,경차,1195
1993,모닝(JA) 1.0가솔린 (16인치 타이어) (15),기아,휘발유,998,수동5,15.3,경형,106,경차,1234
1987,모닝(JA) 1.0가솔린_밴형 (16인치 타이어) (15),기아,휘발유,998,수동5,15.3,경형,106,경차,1280
1967,스파크 밴 1.0,한국지엠,휘발유,999,수동5,15,경형,109,경차,1020
1966,스파크 밴 1.0,한국지엠,휘발유,999,무단변속,15,경형,109,경차,1060
1965,스파크 1.0,한국지엠,휘발유,999,수동5,15,경형,109,경차,1030
1964,스파크 1.0,한국지엠,휘발유,999,무단변속,15,경형,109,경차,1058
1994,스파크 1.0,한국지엠,휘발유,999,자동5,14.7,경형,113,경차,1125
1990,모닝(JA) 1.0가솔린 (16인치 타이어) (15),기아,휘발유,998,자동4,14.7,경형,111,경차,1195
1989,스파크 밴 1.0,한구지엠,휘발유,999,자동5,14.7,경형,113,경차,1151
1986,모닝(JA) 1.0가솔린_밴형 (16인치 타이어) (15),기아,휘발유,998,자동4,14.7,경형,111,경차,1185
392,"""스토닉 1.0 T-GDI 7DCT (15""""타이어)""",기아,휘발유,998,자동7,13.7,3등급,121,경차,1867
395,"""스토닉 1.0 T-GDI 7DCT (17""""타이어)""",기아,휘발유,998,자동7,13.5,3등급,123,경차,2111
2002,레이 1.0가솔린 (2015년형),기아,휘발유,998,자동4,13.5,경형,128,경차,1260
1970,"레이 1.0가솔린 (PE, 14인치 타이어)",기아,휘발유,998,자동4,13,경형,127,경차,1350
1969,"""레이 1.0가솔린 밴형 (PE, 14인치 타이어)""",기아,휘발유,998,자동4,13,경형,127,경차,1300
1933,넥쏘 수소전기차(19인치타이어),현대,수소,0,없음,96.2,FCEV,0,경차,6890
2082,넥쏘 수소전기차(17인치타이어),현대,수소,0,없음,93.7,FCEV,0,경차,7000
1934,넥쏘 수소전기차(19인치윈터타이어),현대,수소,0,없음,91.7,FCEV,0,경차,7100
1969,"레이 1.0가솔린 밴형 (PE, 14인치 타이어)	",기아,휘발유,998,자동4,13,경형,127,경차,1280
1970,"레이 1.0가솔린 (PE, 14인치 타이어)",기아,휘발유,998,자동4,13,경형,127,경차,1350
1982,모닝(JA) 1.0T-GDI_14인치 (15),,,998,자동4,13,경형,127,경차,1190
1973,레이 1.0가솔린_밴형 (15),기아,휘발유,998,자동4,12.7,경형,129,경차,1300
1975,다마스 5인승,한국지엠,LPG,796,수동5,8.8,경형,146,경차,993
1976,다마스밴,한국지엠,LPG,796,수동5,8.8,경형,146,경차,988
1977,라보롱카고,한국지엠,LPG,796,수동5,8.6,경형,148,경차,862
1978,라보5MT,한국지엠,LPG,796,수동5,8.6,경형,148,경차,873
2076,TWIZY Urban(2인승),르노삼성,전기,0,없음,7.9,고속,0,경차,1430
2075,TWIZY Urban(1인승),르노삼성,전기,0,없음,7.9,고속,0,경차,1330
