"번호,모델명,제조사,유종,배기량,변속형식,복합연비,등급,CO2배출량,분류, 가격"
"53,토요타 CAMRY Hybrid LE,토요타,휘발유,2494,무단변속,17.5,1등급,95.0,대형차,4220"
"17,토요타 Camry Hybrid LE,토요타,휘발유,2487,무단변속,17.5,1등급,92.0,대형차,4000"
"24,렉서스 ES300h,토요타,휘발유,2487,무단변속,17.0,1등급,93.0,대형차,6680"
"52,토요타 Camry Hybrid,토요타,휘발유,2487,무단변속,16.7,1등급,95.0,대형차,3870"
"23,토요타 Avalon Hybrid,토요타,휘발유,2487,무단변속,16.6,1등급,96.0,대형차,4740"
"39,토요타 CAMRY Hybrid,토요타,휘발유,2494,무단변속,16.4,1등급,102.0,대형차,3870"
"6,""K7 2.4하이브리드 (PE/17""""타이어)"",기아,휘발유,2359,자동6,16.2,1등급,97.0,대형차,3975"
"57,그랜저 2.4 하이브리드 (15),현대,휘발유,2359,자동6,16.2,1등급,97.0,대형차,4432"
"59,""K7 2.4하이브리드 (17""""타이어) (15)"",기아,휘발유,2359,자동6,16.2,1등급,97.0,대형차,3975"
"99,토요타 RAV4 Hybrid 2WD,토요타,휘발유,2487,무단변속,15.9,2등급,101.0,대형차,3590"
"101,토요타 RAV4 Hybrid AWD,토요타,휘발유,2487,무단변속,15.7,2등급,101.0,대형차,4260"
"100,토요타 RAV4 Hybrid AWD,토요타,휘발유,2487,무단변속,15.5,2등급,102.0,대형차,4260"
"115,토요타 CAMRY Hybrid LE,토요타,휘발유,2494,무단변속,15.4,2등급,104.0,대형차,3700"
"190,C220 d ""(17""""_ 18""""_ 19"""" Tire)"",벤츠,경유,2143,자동9,15.2,2등급,124.0,대형차,6000"
"189,G70 2.2디젤 2WD_17인치타이어 (15),현대,경유,2199,자동8,15.2,2등급,124.0,대형차,4447"
"185,토요타 CAMRY Hybrid XLE,토요타,휘발유,2494,무단변속,15.1,2등급,106.0,대형차,4190"
"131,스팅어 2.2디젤 2WD_17인치타이어,기아,경유,2199,자동8,15.0,2등급,126.0,대형차,3868"
"173,C220 d,벤츠,경유,2143,자동7,14.9,2등급,127.0,대형차,6000"
"284,렉서스 ES300h,토요타,휘발유,2494,무단변속,14.9,2등급,108.0,대형차,5750"
"202,스팅어 2.2디젤 2WD_17인치 타이어 (15),기아,경유,2199,자동8,14.8,2등급,128.0,대형차,3860"
"230,K7(YG) 2.2디젤 17MY (17인치타이어) (15),기아,경유,2199,자동8,14.8,2등급,128.0,대형차,3500"
"241,""그랜저 2.2디젤 8AT (17""""타이어) (15)"",현대,경유,2199,자동8,14.8,2등급,128.0,대형차,3632"
"197,B200 d,벤츠,경유,2143,자동7,14.8,2등급,127.0,대형차,4300"
"193,C220 d Coupe,벤츠,경유,2143,자동9,14.7,2등급,128.0,대형차,5800"
"238,C220 d 4Matic,벤츠,경유,2143,자동9,14.7,2등급,129.0,대형차,4690"
"92,""K7 2.2디젤 (PE/17""""타이어)"",기아,경유,2199,자동8,14.6,2등급,130.0,대형차,3500"
"108,""K7 2.2디젤 (17""""타이어)"",기아,경유,2199,자동8,14.6,2등급,130.0,대형차,3505"
"201,스팅어 2.2디젤 2WD_18인치 타이어 (15),기아,경유,2199,자동8,14.5,2등급,131.0,대형차,3870"
"91,""K7 2.2디젤 (PE/18""""타이어)"",기아,경유,2199,자동8,14.5,2등급,131.0,대형차,3515"
"192,C220 d,벤츠,경유,2143,자동9,14.5,2등급,131.0,대형차,4650"
